Name,Company Name,Business Phone,Address 1: Address Type,Address 1: County,Address 1: Fax,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Post Office Box,Address 1: Shipping Method,Address 1: Telephone 1,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Annual Revenue,City,Country/Region,Created By,Created On,Customer,Description,Do not allow Bulk E-mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,E-mail,E-mail Address 2,E-mail Address 3,Est. Close Date,Est. Value,Fax,First Name,Home Phone,Industry,Job Title,Last Date Included in Campaign,Last Name,Lead Source,Middle Name,Mobile Phone,Modified By,Modified On,No. of Employees,Other Phone,Propriétaire,Pager,Preferred Method of Contact,Priority,Rating,Sales Stage,Salutation,Send Marketing Materials,SIC Code,Source Campaign,State/Province,Status,Status Reason,Street 1,Street 2,Street 3,Topic,Web Site,Yomi First Name,Yomi Full Name,Yomi Last Name,Yomi Middle Name,ZIP/Postal Code,Est. Close Date Year,Est. Close Date Month,Est. Close Date Day,Est. Close Date Hour,Est. Close Date Minute,Est. Close Date Second,CreatedDate,Id
Monika Buschmann,Détaillants pour VTT ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Nancy,,First name Last name,1/24/2008,,174 vélos cette année.,,0,0,0,0,someone@example.com,,,,"25 500,00",,Monika,,14,Assistant aux achats,,Buschmann,Publicité,,,First name Last name,1/24/2008,87,,Patricia San Juan,,1,,1,,,0,,,Lorraine,Ouvert,1,123.0, avenue du Lundi,,Commandera environ 174 vélos cette année.,,,,,,54000,0,9,29,21,42,45,2021-04-05 11:19:57.708896,43
Melanie Speckmann,Accessoires de compétition LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Nancy,,First name Last name,1/24/2008,,Prospect obtenu via le salon de Houston,,0,1,0,0,someone@example.com,,,,"64 000,00",,Melanie,,14,Assistant aux achats,,Speckmann,Référence externe,,,First name Last name,1/24/2008,73,,Alan Jackson,,5,,3,,,0,,,Lorraine,Inclus,3,112.0, avenue du Jeudi,,Susceptible de commander 75 vélos de route cette année,,,,,,54000,0,9,29,21,42,45,2021-04-05 11:19:57.708896,44
Mads Ebdrup,Location de vélos XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Nancy,,First name Last name,1/24/2008,,Pages jaunes,,0,0,0,0,someone@example.com,,,,"66 000,00",,Mads,,14,Propriétaire,,Ebdrup,Autre,,,First name Last name,1/24/2008,16,,Alan Jackson,,1,,2,,,0,,,Lorraine,Inclus,3,334.0, avenue du Samedi,,32 vélos de tout type.,,,,,,54000,0,8,14,21,42,45,2021-04-05 11:19:57.708896,45
Antoine Faisandier,Entreprise de remise en forme ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Amiens,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"51 000,00",,Antoine,,14,Assistant aux achats,,Faisandier,Autre,,,First name Last name,1/24/2008,66,,Alan Jackson,,1,,3,,,0,,,Picardie,Inclus,3,223.0, avenue du Lundi,,"Souhaite de la documentation sur les cadres, les selles et les vélos de tourisme.",,,,,,80080,0,8,14,21,42,45,2021-04-05 11:19:57.708896,46
Davy Vliegen,Distributeurs de vélos XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Reims,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,0,0,someone@example.com,,,,"1 200,00",,Davy,,14,Assistant aux achats,,Vliegen,Autre,,,First name Last name,1/24/2008,86,,Gail Erickson,,3,,1,,,0,,,Champagne - Ardenne,Exclus,4,123.0, boulevard du Vendredi,,"A renvoyé, par courrier électronique, un formulaire indiquant son intérêt pour les vélos de route",,,,,,51100,0,8,14,21,42,45,2021-04-05 11:19:57.708896,47
Federico Sason,Distributeurs de vélos LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Nice,,First name Last name,1/24/2008,,Nous a trouvé sur le Web,,0,0,0,0,someone@example.com,,,,"11 500,00",,Federico,,14,Assistant aux achats,,Sason,Web,,,First name Last name,1/24/2008,90,,Jose Curry,,1,,2,,,0,,,Provence - Alpes - Côte d'Azur,Ouvert,1,123.0, boulevard du Mercredi,,Ils possèdent un magasin en ligne pour les VTT uniquement,,,,,,O6100,0,8,29,21,42,45,2021-04-05 11:19:57.708896,48
Bernhard Heger,Distributeurs de cycles ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Le Havre,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"96 000,00",,Bernhard,,14,Directeur des achats,,Heger,Autre,,,First name Last name,1/24/2008,48,,Patricia San Juan,,1,,3,,,0,,,Haute-Normandie,Ouvert,1,123.0, avenue du Vendredi,,Bon prospect pour des cadres,,,,,,76620,0,8,29,21,42,45,2021-04-05 11:19:57.708896,49
Benno Kurmann,Entreprise de compétition LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Paris,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,0,0,someone@example.com,,,,"3 600,00",,Benno,,14,Directeur des achats,,Kurmann,Autre,,,First name Last name,1/24/2008,40,,Patricia San Juan,,2,,1,,,0,,,Île-de-France,Ouvert,1,123.0, rue du Mardi,,"A renvoyé, par courrier électronique, un formulaire indiquant son intérêt pour les vélos de route",,,,,,75010,1,-2,23,21,42,45,2021-04-05 11:19:57.708896,50
Dick Wenning,Fournitures pour cycles ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Nancy,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,0,0,someone@example.com,,,,"54 000,00",,Dick,,14,Directeur des achats,,Wenning,Autre,,,First name Last name,1/24/2008,43,,Gail Erickson,,1,,1,,,0,,,Lorraine,Ouvert,1,225.0, impasse du Lundi,,"A renvoyé, par courrier électronique, un formulaire indiquant son intérêt pour les vélos de route",,,,,,54000,1,-2,23,21,42,45,2021-04-05 11:19:57.708896,51
Peter Wenauer,Équipements de sport XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Lille,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"96 000,00",,Peter,,14,Propriétaire,,Wenauer,Référence d'employé,,,First name Last name,1/24/2008,8,,Patricia San Juan,,4,,2,,,0,,,Nord - Pas-de-Calais,Ouvert,1,223.0, rue du Mercredi,,10 VTT,,,,,,59000,1,-1,12,21,42,45,2021-04-05 11:19:57.708896,52
Delphine Ribaute,Professionnels de la remise en forme XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Lyon,,First name Last name,1/24/2008,,Pages jaunes,,0,0,0,0,someone@example.com,,,,"11 500,00",,Delphine,,14,Assistant aux achats,,Ribaute,Autre,,,First name Last name,1/24/2008,76,,Gail Erickson,,1,,2,,,0,,,Rhône - Alpes,Ouvert,1,344.0, boulevard du Vendredi,,Nouveau magasin ouvert cette année - à suivre,,,,,,69001,1,-1,22,21,42,45,2021-04-05 11:19:57.708896,53
Geert Camelbeke,Accessoires pour cycles XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Rennes,,First name Last name,1/24/2008,,Pages jaunes,,0,0,0,0,someone@example.com,,,,"36 000,00",,Geert,,14,Assistant aux achats,,Camelbeke,Autre,,,First name Last name,1/24/2008,49,,Patricia San Juan,,4,,2,,,0,,,Bretagne,Ouvert,1,112.0, boulevard du Vendredi,,Nouveau magasin ouvert cette année - à suivre,,,,,,35200,1,-2,23,21,42,45,2021-04-05 11:19:57.708896,54
Nina Vietzen,Centre de loisirs ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Paris,,First name Last name,1/24/2008,,Nous a trouvé sur le Web,,0,0,0,0,someone@example.com,,,,"22 000,00",,Nina,,14,Directeur des achats,,Vietzen,Web,,,First name Last name,1/24/2008,45,,Alan Jackson,,3,,2,,,0,,,Île-de-France,Inclus,3,112.0, rue du Vendredi,,Vélos de tourisme exclusivement ; susceptible de commander des casquettes ou des bouteilles d'eau comme promotion.,,,,,,75010,0,9,29,21,42,45,2021-04-05 11:19:57.708896,55
Sabina Schütz,Centre du vélo ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Rennes,,First name Last name,1/24/2008,,Pages jaunes,,0,0,0,0,someone@example.com,,,,"51 000,00",,Sabina,,14,Directeur des achats,,Schütz,Autre,,,First name Last name,1/24/2008,43,,Gail Erickson,,2,,2,,,0,,,Bretagne,Ouvert,1,113.0, boulevard du Mercredi,,Nouveau magasin ouvert cette année - à suivre,,,,,,35200,0,9,29,21,42,45,2021-04-05 11:19:57.708896,56
Markus Breyer,Équipements de compétition LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Orléans,,First name Last name,1/24/2008,,"À recontacter, leur situation a changé.",,0,0,0,0,someone@example.com,,,,"96 000,00",,Markus,,14,Propriétaire,,Breyer,,,,First name Last name,1/24/2008,5,,Alan Jackson,,5,,2,,,0,,,Centre,Ouvert,1,223.0, impasse du Jeudi,,Magasin en extension - envoyer une nouvelle documentation,,,,,,45000,0,8,14,21,42,45,2021-04-05 11:19:57.708896,57
Henrik Jensen,Entreprise d'activités XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Paris,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,0,0,someone@example.com,,,,"25 500,00",,Henrik,,14,Propriétaire,,Jensen,Autre,,,First name Last name,1/24/2008,3,,Gail Erickson,,1,,1,,,0,,,Île-de-France,Ouvert,1,778.0, rue du Mardi,,"A renvoyé, par courrier électronique, un formulaire indiquant son intérêt pour les vélos de route",,,,,,75010,0,8,29,21,42,45,2021-04-05 11:19:57.708896,58
Carl Langhorn,Centre du VTT LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Reims,,First name Last name,1/24/2008,,"À recontacter, leur situation a changé.",,0,0,0,0,someone@example.com,,,,"64 000,00",,Carl,,14,Directeur des achats,,Langhorn,,,,First name Last name,1/24/2008,16,,Patricia San Juan,,4,,2,,,0,,,Champagne - Ardenne,Ouvert,1,778.0, rue du Jeudi,,Magasin en extension - envoyer une nouvelle documentation,,,,,,51100,1,1,22,21,42,45,2021-04-05 11:19:57.708896,59
Martin Schmöllerl,Fournitures pour cycles LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Poitiers,,First name Last name,1/24/2008,,4 vélos cette année.,,0,0,0,0,someone@example.com,,,,"44 000,00",,Martin,,14,Propriétaire,,Schmöllerl,Publicité,,,First name Last name,1/24/2008,2,,Patricia San Juan,,1,,1,,,0,,,Poitou - Charentes,Ouvert,1,225.0, impasse du Mardi,,Commandera environ 4 vélos cette année.,,,,,,86000,1,0,23,21,42,45,2021-04-05 11:19:57.708896,60
Arno Bost,Accessoires pour VTT LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Le Havre,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"11 500,00",,Arno,,14,Directeur des achats,,Bost,Autre,,,First name Last name,1/24/2008,28,,Gail Erickson,,5,,3,,,0,,,Haute-Normandie,Inclus,3,112.0, impasse du Samedi,,Intéressé par 14 VTT.,,,,,,76620,0,10,14,21,42,45,2021-04-05 11:19:57.708896,61
Agostino Martino,Fournitures pour remise en forme XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Lille,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"1 200,00",,Agostino,,14,Propriétaire,,Martino,Autre,,,First name Last name,1/24/2008,16,,Jose Curry,,2,,3,,,0,,,Nord - Pas-de-Calais,Inclus,3,225.0, rue du Dimanche,,32 VTT.,,,,,,59000,0,10,14,21,42,45,2021-04-05 11:19:57.708896,62
Marlies Dressler,Fournitures pour vélos XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Nantes,,First name Last name,1/24/2008,,Pages jaunes,,0,0,0,0,someone@example.com,,,,"34 500,00",,Marlies,,14,Assistant aux achats,,Dressler,Autre,,,First name Last name,1/24/2008,83,,Gail Erickson,,1,,2,,,0,,,Pays-de-la Loire,Ouvert,1,225.0, rue du Mardi,,Nouveau magasin ouvert cette année - à suivre,,,,,,44100,0,10,14,21,42,45,2021-04-05 11:19:57.708896,63
EmilieLiv Nørum,Accessoires pour vélos XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Orléans,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"34 500,00",,EmilieLiv,,14,Propriétaire,,Nørum,Autre,,,First name Last name,1/24/2008,14,,Patricia San Juan,,4,,3,,,0,,,Centre,Ouvert,1,778.0, boulevard du Vendredi,,Bon prospect pour des cadres,,,,,,45000,0,11,29,21,42,45,2021-04-05 11:19:57.708896,64
Ingelise Lang,Accessoires de compétition ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Marseille,,First name Last name,1/24/2008,,"À recontacter, leur situation a changé.",,0,0,0,0,someone@example.com,,,,"51 000,00",,Ingelise,,14,Propriétaire,,Lang,,,,First name Last name,1/24/2008,2,,Gail Erickson,,4,,2,,,0,,,Provence - Alpes - Côte d'Azur,Ouvert,1,778.0, boulevard du Jeudi,,Magasin en extension - envoyer une nouvelle documentation,,,,,,13001,1,0,23,21,42,45,2021-04-05 11:19:57.708896,65
Giorgio Cavaglieri,Magasin de remise en forme LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Nancy,,First name Last name,1/24/2008,,Nous a trouvé sur le Web,,0,0,0,0,someone@example.com,,,,"1 200,00",,Giorgio,,14,Propriétaire,,Cavaglieri,Web,,,First name Last name,1/24/2008,4,,Gail Erickson,,2,,2,,,0,,,Lorraine,Ouvert,1,445.0, avenue du Dimanche,,Ils possèdent un magasin en ligne pour les VTT uniquement,,,,,,54000,1,0,23,21,42,45,2021-04-05 11:19:57.708896,66
Joris Kalz,Location pour les loisirs ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Dijon,,First name Last name,1/24/2008,,26 vélos cette année.,,0,0,0,0,someone@example.com,,,,"25 500,00",,Joris,,14,Directeur des achats,,Kalz,Publicité,,,First name Last name,1/24/2008,13,,Gail Erickson,,1,,1,,,0,,,Bourgogne,Inclus,3,334.0, impasse du Jeudi,,27 vélos de tourisme,,,,,,21000,1,0,23,21,42,45,2021-04-05 11:19:57.708896,67
Adriana Giorgi,Centre de compétition XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Strasbourg,,First name Last name,1/24/2008,,Pages jaunes,,0,0,0,0,someone@example.com,,,,"23 000,00",,Adriana,,14,Propriétaire,,Giorgi,Autre,,,First name Last name,1/24/2008,13,,Gail Erickson,,2,,2,,,0,,,Alsace,Exclus,4,112.0, rue du Samedi,,Nouveau magasin ouvert cette année - à suivre,,,,,,67100,1,1,12,21,42,45,2021-04-05 11:19:57.708896,68
Richard Tupy,Location de cycles LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 000,00 €",Châlons-en-Champagne,,First name Last name,1/24/2008,,34 vélos cette année.,,0,0,0,0,someone@example.com,,,,"36 000,00",,Richard,,14,Propriétaire,,Tupy,Publicité,,,First name Last name,1/24/2008,17,,Gail Erickson,,4,,1,,,0,,,Champagne - Ardenne,Ouvert,1,334.0, avenue du Jeudi,,Commandera environ 34 vélos cette année.,,,,,,17620,1,1,12,21,42,45,2021-04-05 11:19:57.708896,69
BjarkeRust Christensen,Location pour la compétition XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Besançon,,First name Last name,1/24/2008,,10 vélos cette année.,,0,0,0,0,someone@example.com,,,,"66 000,00",,BjarkeRust,,14,Propriétaire,,Christensen,Publicité,,,First name Last name,1/24/2008,5,,Gail Erickson,,4,,1,,,0,,,Franche-Comté,Ouvert,1,334.0, boulevard du Mercredi,,Commandera environ 10 vélos cette année.,,,,,,25000,1,3,13,21,42,45,2021-04-05 11:19:57.708896,70
Karim Manar,Location de VTT ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Limoges,,First name Last name,1/24/2008,,8 vélos cette année.,,0,0,1,0,someone@example.com,,,,"76 500,00",,Karim,,14,Propriétaire,,Manar,Publicité,,,First name Last name,1/24/2008,4,,Patricia San Juan,,4,,1,,,0,,,Limousin,Ouvert,1,334.0, avenue du Vendredi,,Commandera environ 8 vélos cette année.,,,,,,87100,0,10,14,21,42,45,2021-04-05 11:19:57.708896,71
Thorsten Scholl,Équipements pour vélo XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Orléans,,First name Last name,1/24/2008,,Pages jaunes,,0,0,0,0,someone@example.com,,,,"51 000,00",,Thorsten,,14,Assistant aux achats,,Scholl,Autre,,,First name Last name,1/24/2008,52,,Gail Erickson,,5,,2,,,0,,,Centre,Inclus,3,225.0, avenue du Mardi,,600 exemplaires du Route 650 et du Route 750,,,,,,45000,1,3,13,21,42,45,2021-04-05 11:19:57.708896,72
CharlotteToft Madsen,Centre de sport ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Rouen,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"1 200,00",,CharlotteToft,,14,Directeur des achats,,Madsen,Référence d'employé,,,First name Last name,1/24/2008,33,,Patricia San Juan,,2,,2,,,0,,,Haute-Normandie,Ouvert,1,778.0, impasse du Mardi,,50 VTT,,,,,,76000,0,10,14,21,42,45,2021-04-05 11:19:57.708896,73
NisBank Lorenzen,Centre de sport LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Le Havre,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"23 000,00",,NisBank,,14,Propriétaire,,Lorenzen,Autre,,,First name Last name,1/24/2008,5,,Patricia San Juan,,2,,3,,,0,,,Haute-Normandie,Ouvert,1,778.0, impasse du Mercredi,,Bon prospect pour des cadres,,,,,,76620,0,10,29,21,42,45,2021-04-05 11:19:57.708896,74
Massimiliano Monaco,Équipements de remise en forme LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Reims,,First name Last name,1/24/2008,,Nous a trouvé sur le Web,,0,0,0,0,someone@example.com,,,,"66 000,00",,Massimiliano,,14,Propriétaire,,Monaco,Web,,,First name Last name,1/24/2008,13,,Alan Jackson,,5,,2,,,0,,,Champagne - Ardenne,Inclus,3,223.0, rue du Dimanche,,13 vélos de route ou de tourisme.,,,,,,51100,0,10,29,21,42,45,2021-04-05 11:19:57.708896,75
Eduard Dell,Fournitures pour vélos LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Lyon,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"22 000,00",,Eduard,,14,Directeur des achats,,Dell,Référence d'employé,,,First name Last name,1/24/2008,32,,Gail Erickson,,4,,2,,,0,,,Rhône - Alpes,Ouvert,1,225.0, rue du Lundi,,50 VTT,,,,,,69001,0,11,29,21,42,45,2021-04-05 11:19:57.708896,76
Fabrice Canel,Centre de compétition ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Caen,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"2 400,00",,Fabrice,,14,Assistant aux achats,,Canel,Autre,,,First name Last name,1/24/2008,58,,Jose Curry,,1,,3,,,0,,,Basse-Normandie,Inclus,3,112.0, rue du Mardi,,Réponse contenant des informations sur les VTT,,,,,,14000,0,11,29,21,42,45,2021-04-05 11:19:57.708896,77
Markus Zulechner,Équipements de loisirs XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Le Havre,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,0,0,someone@example.com,,,,"2 400,00",,Markus,,14,Propriétaire,,Zulechner,Autre,,,First name Last name,1/24/2008,18,,Jose Curry,,2,,1,,,0,,,Haute-Normandie,Inclus,3,223.0, impasse du Samedi,,Commandera très certainement 18 vélos de route,,,,,,76620,1,0,23,21,42,45,2021-04-05 11:19:57.708896,78
ThomasSøndergaard Jensen,Entreprise de loisirs LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Strasbourg,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"1 200,00",,ThomasSøndergaard,,14,Propriétaire,,Jensen,Autre,,,First name Last name,1/24/2008,14,,Gail Erickson,,3,,3,,,0,,,Alsace,Ouvert,1,778.0, rue du Mercredi,,Bon prospect pour des cadres,,,,,,67100,1,0,23,21,42,45,2021-04-05 11:19:57.708896,79
Roman Lembeck,Fournitures pour cycles XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Toulouse,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"34 500,00",,Roman,,14,Propriétaire,,Lembeck,Autre,,,First name Last name,1/24/2008,19,,Gail Erickson,,5,,3,,,0,,,Midi - Pyrénées,Ouvert,1,225.0, impasse du Mercredi,,Bon prospect pour des cadres,,,,,,31100,1,1,12,21,42,45,2021-04-05 11:19:57.708896,80
Michel Pereira,Centre du cycle LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 000,00 €",Lyon,,First name Last name,1/24/2008,,Pages jaunes,,0,0,0,0,someone@example.com,,,,"23 000,00",,Michel,,14,Assistant aux achats,,Pereira,Autre,,,First name Last name,1/24/2008,79,,Patricia San Juan,,1,,2,,,0,,,Rhône - Alpes,Ouvert,1,113.0, boulevard du Lundi,,Nouveau magasin ouvert cette année - à suivre,,,,,,69001,1,3,13,21,42,45,2021-04-05 11:19:57.708896,81
Ina Sabaditsch,Fournitures de sport ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Besançon,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"54 000,00",,Ina,,14,Propriétaire,,Sabaditsch,Référence d'employé,,,First name Last name,1/24/2008,4,,Gail Erickson,,1,,2,,,0,,,Franche-Comté,Ouvert,1,225.0, boulevard du Vendredi,,10 VTT,,,,,,25000,0,10,29,21,42,45,2021-04-05 11:19:57.708896,82
MartinIllum Lotz,Entreprise de VTT ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Montpellier,,First name Last name,1/24/2008,,12 vélos cette année.,,0,0,0,0,someone@example.com,,,,"25 500,00",,MartinIllum,,14,Propriétaire,,Lotz,Publicité,,,First name Last name,1/24/2008,6,,Gail Erickson,,1,,1,,,0,,,Languedoc - Roussillon,Exclus,4,344.0, avenue du Mardi,,Commandera environ 12 vélos cette année.,,,,,,34070,1,0,23,21,42,45,2021-04-05 11:19:57.708896,83
Thomas Hamborg,Entreprise d'activités LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Saint-Étienne,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"2 400,00",,Thomas,,14,Propriétaire,,Hamborg,Autre,,,First name Last name,1/24/2008,20,,Jose Curry,,2,,3,,,0,,,Rhône - Alpes,Inclus,3,123.0, impasse du Vendredi,,"50 vélos, peut-être le Route-350",,,,,,42000,1,1,12,21,42,45,2021-04-05 11:19:57.708896,84
Sylvie Narp,Accessoires de sport LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Clermont-Ferrand,,First name Last name,1/24/2008,,Nous a trouvé sur le Web,,0,0,0,0,someone@example.com,,,,"1 200,00",,Sylvie,,14,Propriétaire,,Narp,Web,,,First name Last name,1/24/2008,9,,Gail Erickson,,1,,2,,,0,,,Auvergne,Ouvert,1,112.0, boulevard du Mardi,,Ils possèdent un magasin en ligne pour les VTT uniquement,,,,,,63100,1,1,12,21,42,45,2021-04-05 11:19:57.708896,85
Daniel Durrer,Magasin du VTT ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 000,00 €",Besançon,,First name Last name,1/24/2008,,76 vélos cette année.,,0,1,0,0,someone@example.com,,,,"36 000,00",,Daniel,,14,Directeur des achats,,Durrer,Publicité,,,First name Last name,1/24/2008,38,,Gail Erickson,,3,,1,,,0,,,Franche-Comté,Inclus,3,445.0, boulevard du Jeudi,,114 vélos de plusieurs modèles.,,,,,,25000,1,3,13,21,42,45,2021-04-05 11:19:57.708896,86
AndreasHanefeld Dziegiel,Entreprise du sport XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Rennes,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"11 500,00",,AndreasHanefeld,,14,Propriétaire,,Dziegiel,Référence d'employé,,,First name Last name,1/24/2008,10,,Alan Jackson,,2,,2,,,0,,,Bretagne,Inclus,3,223.0, boulevard du Vendredi,,10 vélos de route et de tourisme.,,,,,,35200,0,10,14,21,42,45,2021-04-05 11:19:57.708896,87
Jens Geschwandtner,Distributeurs de cycles LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Strasbourg,,First name Last name,1/24/2008,,190 vélos cette année.,,0,0,0,0,someone@example.com,,,,"32 000,00",,Jens,,14,Assistant aux achats,,Geschwandtner,Publicité,,,First name Last name,1/24/2008,95,,Jose Curry,,5,,1,,,0,,,Alsace,Ouvert,1,123.0, boulevard du Jeudi,,Commandera environ 190 vélos cette année.,,,,,,67100,0,10,14,21,42,45,2021-04-05 11:19:57.708896,88
